queryId,query,shape,span,intent,mode,strategy,ndcg,recall,jaccard,kendallTau,rbo,judgedNdcg,judgedCoverage,queries,computeUnits,modelTokens,latencyMs,stripeMix
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,naive-score,0.7665187889687616,0.4,0.25,0.28888888888888886,0.4782232262519906,0.15522443032254213,1,2,0.00075,,61.673500000000004,books-genre-a=4 | books-genre-b=6
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,interleave,0.8075427686373078,0.5,0.3333333333333333,0.3333333333333333,0.53296910921566,0.1375443403341808,1,2,0.00075,,61.664300000000004,books-genre-a=5 | books-genre-b=5
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,quota-merge,0.8060840015994168,0.5,0.3333333333333333,0.24444444444444444,0.5213127865125087,0.13928253895034998,1,2,0.00075,,61.6454,books-genre-a=5 | books-genre-b=5
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,global-rrf,0.8060840015994168,0.5,0.3333333333333333,0.24444444444444444,0.5213127865125087,0.13928253895034998,1,2,0.00075,,61.6741,books-genre-a=5 | books-genre-b=5
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,minmax-norm,0.7834321414757199,0.4,0.25,0.3333333333333333,0.5196774044372565,0.1382229965569541,1,2,0.00075,,61.7282,books-genre-a=4 | books-genre-b=6
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,zscore-norm,0.8028005633286321,0.4,0.25,0.37777777777777777,0.5196774044372565,0.15915640854087934,1,2,0.00075,,61.7179,books-genre-a=4 | books-genre-b=6
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,idf-correct-probe,0.8140902395613044,0.6,0.42857142857142855,0.37777777777777777,0.49766074236562585,0.13048274955077963,1,12,0.002699999,,502.02009999999996,books-genre-a=10
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,idf-correct-sidecar,0.8140902395613044,0.6,0.42857142857142855,0.37777777777777777,0.49766074236562585,0.13048274955077963,1,2,0.00075,,61.7395,books-genre-a=10
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,global-bm25,0.5424882870533627,0.5,0.3333333333333333,-0.07142857142857142,0.1170433667932298,0.38960696824991553,1,2,0.00075,,64.0254,books-genre-a=8 | books-genre-b=2
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,local-bm25,0.47715412019681114,0.5,0.3333333333333333,-0.23809523809523808,0.08913007154964639,0.3220873334598719,1,2,0.00075,,63.683400000000006,books-genre-a=6 | books-genre-b=4
q004,vampires,Head,StripeLocal,Lexical,Keyword,single-index,1,1,1,1,1,1,1,1,0.000316667,,62.5289,books-oracle2=10
q004,vampires,Head,StripeLocal,Lexical,Keyword,single-index-rescored,0.6672772247211125,0.6,0.42857142857142855,-0.022222222222222223,0.3071849130306321,1,1,1,0.000316667,,62.5289,books-oracle2=10
q004,vampires,Head,StripeLocal,Lexical,Keyword,naive-score,0.6217500680296282,0.8,0.6666666666666666,0.9285714285714286,0.430645595535999,0.9206500320722545,1,2,0.00030000000000000003,,56.3547,books-genre-a=8 | books-genre-b=2
q004,vampires,Head,StripeLocal,Lexical,Keyword,interleave,0.7003946037998063,0.5,0.3333333333333333,1,0.6170673540341023,0.9458352203602566,1,2,0.00030000000000000003,,56.345600000000005,books-genre-a=5 | books-genre-b=5
q004,vampires,Head,StripeLocal,Lexical,Keyword,quota-merge,0.6957971787073703,0.5,0.3333333333333333,1,0.5980675480279657,0.9458352203602566,1,2,0.00030000000000000003,,56.3313,books-genre-a=5 | books-genre-b=5
q004,vampires,Head,StripeLocal,Lexical,Keyword,global-rrf,0.6957971787073703,0.5,0.3333333333333333,1,0.5980675480279657,0.9458352203602566,1,2,0.00030000000000000003,,56.382,books-genre-a=5 | books-genre-b=5
q004,vampires,Head,StripeLocal,Lexical,Keyword,minmax-norm,0.8221588990043313,0.8,0.6666666666666666,0.9285714285714286,0.6532698857902054,0.9371166382005486,1,2,0.00030000000000000003,,56.3932,books-genre-a=8 | books-genre-b=2
q004,vampires,Head,StripeLocal,Lexical,Keyword,zscore-norm,0.6217500680296282,0.8,0.6666666666666666,0.9285714285714286,0.430645595535999,0.9206500320722545,1,2,0.00030000000000000003,,56.392,books-genre-a=8 | books-genre-b=2
q004,vampires,Head,StripeLocal,Lexical,Keyword,idf-correct-probe,0.999872026239713,1,1,0.9555555555555556,0.9883436772968487,1,1,4,0.000716667,,145.95159999999998,books-genre-a=10
q004,vampires,Head,StripeLocal,Lexical,Keyword,idf-correct-sidecar,0.999872026239713,1,1,0.9555555555555556,0.9883436772968487,1,1,2,0.00030000000000000003,,56.403600000000004,books-genre-a=10
q004,vampires,Head,StripeLocal,Lexical,Keyword,global-bm25,0.6711809046339259,0.6,0.42857142857142855,-0.06666666666666667,0.3071849130306321,1,1,2,0.00030000000000000003,,61.267700000000005,books-genre-a=10
q004,vampires,Head,StripeLocal,Lexical,Keyword,local-bm25,0.07138706595310608,0.1,0.05263157894736842,0,0.0492374295588158,0.7855798263553452,1,2,0.00030000000000000003,,58.0125,books-genre-a=1 | books-genre-b=9
