queryId,query,shape,span,intent,mode,strategy,ndcg,recall,jaccard,kendallTau,rbo,judgedNdcg,judgedCoverage,queries,computeUnits,latencyMs,stripeMix
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,single-index,1,1,1,1,1,0.8771324975457362,1,1,0.000366667,61.2885,books-oracle2=10
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,naive-score,0.9308091067535855,0.9,0.8181818181818182,0.7333333333333333,0.668724755768453,0.8525920295869669,0.9,2,0.00035,56.6442,books-t2010-a=7 | books-t2010-b=3
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,interleave,0.961330715849525,0.7,0.5384615384615384,0.7333333333333333,0.7148693272567789,0.7738935317712264,0.8,2,0.00035,54.5586,books-t2010-a=5 | books-t2010-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,quota-merge,0.9850727632041856,0.9,0.8181818181818182,0.6444444444444445,0.7596591858439536,0.836579905045058,0.9,2,0.00035,55.4503,books-t2010-a=7 | books-t2010-b=3
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,global-rrf,0.9589862738457805,0.7,0.5384615384615384,0.6888888888888889,0.7016793490742367,0.7671486831082807,0.8,2,0.00035,54.422799999999995,books-t2010-a=5 | books-t2010-b=5
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,minmax-norm,0.9732612901194092,0.8,0.6666666666666666,0.6888888888888889,0.7274793880195382,0.8155828436012935,0.8,2,0.00035,56.026199999999996,books-t2010-a=6 | books-t2010-b=4
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,zscore-norm,0.9173166735302425,0.8,0.6666666666666666,0.6,0.6170688569619466,0.8134252663673013,0.8,2,0.00035,56.0773,books-t2010-a=6 | books-t2010-b=4
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,idf-correct-probe,0.9451363889607138,1,1,0.8666666666666667,0.7439184769132976,0.8771324975457362,1,10,0.0017833350000000003,419.0283,books-t2010-a=8 | books-t2010-b=2
q001,dragons and ancient magic,Torso,StripeLocal,Lexical,Keyword,idf-correct-sidecar,0.9451363889607138,1,1,0.8666666666666667,0.7439184769132976,0.8771324975457362,1,2,0.00035,54.9985,books-t2010-a=8 | books-t2010-b=2
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,single-index,1,1,1,1,1,0.44426423489927896,1,1,0.000433333,61.6463,books-oracle2=10
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,naive-score,0.9991728380361162,1,1,0.9111111111111111,0.8360095938284696,0.44276399298560354,1,2,0.0008,55.0842,books-t2010-a=9 | books-t2010-b=1
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,interleave,0.9170460066348336,0.6,0.42857142857142855,0.4666666666666667,0.5689535558525332,0.2759661402563627,0.8,2,0.0008,55.071799999999996,books-t2010-a=5 | books-t2010-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,quota-merge,0.8513066060281553,0.8,0.6666666666666666,0.3333333333333333,0.524816164104663,0.32720501046281475,1,2,0.0008,55.0522,books-t2010-a=7 | books-t2010-b=3
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,global-rrf,0.8205454184788075,0.6,0.42857142857142855,0.37777777777777777,0.4608041639119486,0.25275776242078396,0.8,2,0.0008,55.0792,books-t2010-a=5 | books-t2010-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,minmax-norm,0.8516742568791564,0.7,0.5384615384615384,0.6444444444444445,0.5675029670096445,0.26752412809410964,0.9,2,0.0008,55.1284,books-t2010-a=6 | books-t2010-b=4
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,zscore-norm,0.8311382562046361,0.6,0.42857142857142855,0.6,0.510288434540495,0.2559016617952046,0.8,2,0.0008,55.1186,books-t2010-a=5 | books-t2010-b=5
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,idf-correct-probe,0.9937243717321681,1,1,0.7777777777777778,0.7956797428423422,0.44221478575732337,1,14,0.003266668,573.9846,books-t2010-a=9 | books-t2010-b=1
q002,a young wizard learning to control his powers at a school of magic,Torso,StripeLocal,Conceptual,Keyword,idf-correct-sidecar,0.9937243717321681,1,1,0.7777777777777778,0.7956797428423422,0.44221478575732337,1,2,0.0008,55.1672,books-t2010-a=9 | books-t2010-b=1
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,single-index,1,1,1,1,1,0.2748545757000134,1,1,0.000416667,62.9983,books-oracle2=10
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,naive-score,0.9815777122876533,0.9,0.8181818181818182,0.7333333333333333,0.743840157130744,0.2603844694029366,0.9,2,0.00075,54.1918,books-t2010-a=5 | books-t2010-b=5
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,interleave,0.981603149309344,0.9,0.8181818181818182,0.7777777777777778,0.747026243467802,0.26690362110009397,0.9,2,0.00075,54.1483,books-t2010-a=5 | books-t2010-b=5
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,quota-merge,0.8754884308802532,0.9,0.8181818181818182,0.7777777777777778,0.6258670905327927,0.26460911605324433,0.9,2,0.00075,54.1249,books-t2010-a=7 | books-t2010-b=3
q003,epic fantasy quest to destroy an artifact,Torso,StripeLocal,Mixed,Keyword,global-rrf,0.8872623408116553,0.9,0.8181818181818182,0.6888888888888889,0.6465081960471171,0.26297164288175673,0.9,2,0.00075,54.1559,books-t2010-a=5 | books-t2010-b=5
